Date,Station,Daily Mean Temperature,Daily Total Rainfall
2016-01-01,Station_A,10.0,tr
2016-01-02,Station_A,10.1,0.2
2016-01-03,Station_A,10.2,0.4
2016-01-04,Station_A,10.3,0.6
2016-01-05,Station_A,10.4,0.8
2016-01-06,Station_A,10.5,1.0
2016-01-07,Station_A,10.6,1.2
2016-01-08,Station_A,10.7,1.4
2016-01-09,Station_A,10.8,1.6
2016-01-10,Station_A,10.9,1.8
2016-01-11,Station_A,11.0,0.0
2016-01-12,Station_A,11.1,0.2
2016-01-13,Station_A,11.2,0.4
2016-01-14,Station_A,11.3,0.6
2016-01-15,Station_A,11.4,0.8
2016-01-16,Station_A,11.5,tr
2016-01-17,Station_A,11.6,1.2
2016-01-18,Station_A,11.7,1.4
2016-01-19,Station_A,11.8,1.6
2016-01-20,Station_A,11.9,1.8
2016-01-21,Station_A,12.0,0.0
2016-01-22,Station_A,12.1,0.2
2016-01-23,Station_A,12.2,0.4
2016-01-24,Station_A,12.3,0.6
2016-01-25,Station_A,12.4,0.8
2016-01-26,Station_A,12.5,1.0
2016-01-27,Station_A,12.6,1.2
2016-01-28,Station_A,12.7,1.4
2016-01-29,Station_A,12.8,1.6
2016-01-30,Station_A,12.9,1.8
2016-01-31,Station_A,10.0,tr
2016-02-01,Station_A,10.1,0.2
2016-02-02,Station_A,10.2,0.4
2016-02-03,Station_A,10.3,0.6
2016-02-04,Station_A,10.4,0.8
2016-02-05,Station_A,10.5,1.0
2016-02-06,Station_A,10.6,1.2
2016-02-07,Station_A,10.7,1.4
2016-02-08,Station_A,10.8,1.6
2016-02-09,Station_A,10.9,1.8
2016-02-10,Station_A,11.0,0.0
2016-02-11,Station_A,11.1,0.2
2016-02-12,Station_A,11.2,0.4
2016-02-13,Station_A,11.3,0.6
2016-02-14,Station_A,11.4,0.8
2016-02-15,Station_A,11.5,tr
2016-02-16,Station_A,11.6,1.2
2016-02-17,Station_A,11.7,1.4
2016-02-18,Station_A,11.8,1.6
2016-02-19,Station_A,11.9,1.8
2016-02-20,Station_A,12.0,0.0
2016-02-21,Station_A,12.1,0.2
2016-02-22,Station_A,12.2,0.4
2016-02-23,Station_A,12.3,0.6
2016-02-24,Station_A,12.4,0.8
2016-02-25,Station_A,12.5,1.0
2016-02-26,Station_A,12.6,1.2
2016-02-27,Station_A,12.7,1.4
2016-02-28,Station_A,12.8,1.6
2016-02-29,Station_A,12.9,1.8
2016-03-01,Station_A,10.0,tr
2016-03-02,Station_A,10.1,0.2
2016-03-03,Station_A,10.2,0.4
2016-03-04,Station_A,10.3,0.6
2016-03-05,Station_A,10.4,0.8
2016-03-06,Station_A,10.5,1.0
2016-03-07,Station_A,10.6,1.2
2016-03-08,Station_A,10.7,1.4
2016-03-09,Station_A,10.8,1.6
2016-03-10,Station_A,10.9,1.8
2016-03-11,Station_A,11.0,0.0
2016-03-12,Station_A,11.1,0.2
2016-03-13,Station_A,11.2,0.4
2016-03-14,Station_A,11.3,0.6
2016-03-15,Station_A,11.4,0.8
2016-03-16,Station_A,11.5,tr
2016-03-17,Station_A,11.6,1.2
2016-03-18,Station_A,11.7,1.4
2016-03-19,Station_A,11.8,1.6
2016-03-20,Station_A,11.9,1.8
2016-03-21,Station_A,12.0,0.0
2016-03-22,Station_A,12.1,0.2
2016-03-23,Station_A,12.2,0.4
2016-03-24,Station_A,12.3,0.6
2016-03-25,Station_A,12.4,0.8
2016-03-26,Station_A,12.5,1.0
2016-03-27,Station_A,12.6,1.2
2016-03-28,Station_A,12.7,1.4
2016-03-29,Station_A,12.8,1.6
2016-03-30,Station_A,12.9,1.8
2016-03-31,Station_A,10.0,tr
2016-04-01,Station_A,10.1,0.2
2016-04-02,Station_A,10.2,0.4
2016-04-03,Station_A,10.3,0.6
2016-04-04,Station_A,10.4,0.8
2016-04-05,Station_A,10.5,1.0
2016-04-06,Station_A,10.6,1.2
2016-04-07,Station_A,10.7,1.4
